Date,Open,High,Low,Close,Adj Close,Volume
2018-01-24,144.839996,147.600006,135.852005,136.212006,136.212006,392700
2018-01-25,136.679993,137.039993,123.000000,127.680000,127.680000,378500
2018-01-26,125.400002,133.235992,118.800003,129.720001,129.720001,298900
2018-01-29,132.360001,133.800003,124.680000,125.879997,125.879997,196300
2018-01-30,120.599998,123.288002,113.351997,113.351997,113.351997,348800
2018-01-31,112.800003,119.400002,107.375999,114.564003,114.564003,244700
2018-02-01,115.115997,116.400002,97.332001,100.199997,100.199997,520400
2018-02-02,94.260002,94.440002,81.839996,82.320000,82.320000,718700
2018-02-05,74.879997,98.556000,68.916000,88.440002,88.440002,700300
2018-02-06,95.519997,111.024002,89.003998,110.639999,110.639999,446800
2018-02-07,115.620003,120.071999,101.400002,106.440002,106.440002,469700
2018-02-08,112.500000,115.248001,102.839996,106.080002,106.080002,233400
2018-02-09,105.120003,108.959999,99.720001,107.867996,107.867996,260200
2018-02-12,109.620003,111.599998,106.199997,108.000000,108.000000,198800
2018-02-13,107.339996,107.879997,104.987999,106.199997,106.199997,96100
2018-02-14,108.000000,108.000000,105.480003,106.800003,106.800003,109700
2018-02-15,106.139999,107.160004,103.776001,104.568001,104.568001,103600
2018-02-16,100.199997,102.036003,95.400002,96.839996,96.839996,223200
2018-02-20,97.379997,105.480003,96.480003,104.388000,104.388000,169600
2018-02-21,104.040001,106.080002,100.164001,101.040001,101.040001,89500
2018-02-22,100.860001,102.839996,99.360001,101.519997,101.519997,68900
2018-02-23,103.139999,104.279999,100.199997,100.211998,100.211998,65100
2018-02-26,100.559998,101.760002,95.279999,96.480003,96.480003,142700
2018-02-27,97.739998,98.879997,89.760002,93.000000,93.000000,204800
2018-02-28,93.000000,98.351997,89.879997,97.199997,97.199997,122400
2018-03-01,99.480003,101.028000,96.599998,100.800003,100.800003,123800
2018-03-02,99.720001,100.080002,97.127998,98.760002,98.760002,63000
2018-03-05,97.139999,104.279999,97.139999,103.919998,103.919998,134700
2018-03-06,106.620003,111.599998,105.239998,109.559998,109.559998,199400
2018-03-07,108.540001,111.360001,103.800003,104.639999,104.639999,119900
2018-03-08,105.239998,107.879997,103.199997,104.279999,104.279999,80800
2018-03-09,106.620003,108.120003,105.000000,106.199997,106.199997,89600
2018-03-12,108.599998,109.199997,105.000000,108.959999,108.959999,122200
2018-03-13,108.779999,111.000000,105.480003,105.720001,105.720001,118700
2018-03-14,104.580002,106.043999,103.680000,104.760002,104.760002,45800
2018-03-15,104.400002,104.879997,102.360001,103.440002,103.440002,51500
2018-03-16,103.139999,103.800003,99.384003,99.480003,99.480003,90800
2018-03-19,100.260002,102.000000,98.400002,99.360001,99.360001,85100
2018-03-20,97.919998,99.480003,94.320000,94.680000,94.680000,146200
2018-03-21,95.279999,97.199997,92.160004,93.828003,93.828003,108800
2018-03-22,93.300003,94.440002,88.440002,89.639999,89.639999,160700
2018-03-23,96.779999,97.320000,93.599998,94.428001,94.428001,178700
2018-03-26,95.279999,95.760002,90.636002,92.412003,92.412003,95500
2018-03-27,93.300003,93.599998,88.559998,88.764000,88.764000,89600
2018-03-28,88.739998,90.239998,83.316002,84.000000,84.000000,168500
2018-03-29,83.160004,88.080002,81.599998,87.239998,87.239998,126200
2018-04-02,86.099998,87.480003,80.160004,82.199997,82.199997,176300
2018-04-03,82.620003,85.800003,75.000000,75.239998,75.239998,142200
2018-04-04,72.059998,74.279999,68.400002,72.000000,72.000000,312700
2018-04-05,74.160004,79.764000,72.599998,79.764000,79.764000,150000
2018-04-06,78.239998,78.480003,73.680000,75.875999,75.875999,122300
2018-04-09,75.599998,76.800003,69.000000,69.888000,69.888000,156600
2018-04-10,67.500000,76.080002,64.019997,74.760002,74.760002,313300
2018-04-11,75.300003,78.480003,72.599998,75.959999,75.959999,123400
2018-04-12,75.959999,78.120003,75.000000,76.680000,76.680000,73100
2018-04-13,76.199997,84.239998,75.480003,82.919998,82.919998,167400
2018-04-16,86.519997,87.599998,84.480003,85.283997,85.283997,162500
2018-04-17,86.639999,87.360001,80.279999,81.120003,81.120003,123000
2018-04-18,81.120003,83.867996,80.375999,82.199997,82.199997,77000
2018-04-19,82.559998,83.400002,80.736000,82.680000,82.680000,111300
2018-04-20,82.680000,84.239998,80.879997,81.000000,81.000000,84800
2018-04-23,81.000000,82.080002,74.879997,74.879997,74.879997,120700
2018-04-24,74.639999,78.360001,73.320000,77.400002,77.400002,72100
2018-04-25,77.639999,77.879997,72.599998,72.720001,72.720001,111500
2018-04-26,73.379997,75.000000,72.000000,72.239998,72.239998,89000
2018-04-27,72.839996,73.559998,70.320000,71.760002,71.760002,103200
2018-04-30,71.940002,76.800003,71.519997,75.587997,75.587997,99600
2018-05-01,75.599998,76.800003,72.360001,73.440002,73.440002,85100
2018-05-02,73.199997,76.800003,72.239998,74.148003,74.148003,97200
2018-05-03,73.739998,76.440002,73.295998,74.760002,74.760002,62100
2018-05-04,75.599998,76.680000,74.400002,75.096001,75.096001,48300
2018-05-07,76.379997,77.279999,75.000000,75.360001,75.360001,58700
2018-05-08,75.599998,76.199997,72.120003,72.323997,72.323997,110200
2018-05-09,73.139999,75.120003,72.360001,74.652000,74.652000,67800
2018-05-10,76.320000,78.000000,74.760002,74.760002,74.760002,61100
2018-05-11,75.239998,76.800003,74.760002,75.599998,75.599998,58100
2018-05-14,76.019997,78.059998,72.360001,74.160004,74.160004,245600
2018-05-15,75.180000,76.440002,72.239998,72.480003,72.480003,181500
2018-05-16,73.139999,74.040001,69.720001,70.188004,70.188004,246200
2018-05-17,70.139999,70.800003,67.199997,67.500000,67.500000,229500
2018-05-18,67.199997,73.800003,66.839996,73.800003,73.800003,210600
2018-05-21,74.760002,82.559998,74.519997,80.160004,80.160004,344000
2018-05-22,78.779999,81.599998,76.320000,78.360001,78.360001,184300
2018-05-23,77.099998,81.839996,76.823997,79.199997,79.199997,141900
2018-05-24,79.860001,80.400002,76.800003,77.040001,77.040001,103600
2018-05-25,77.040001,78.360001,73.800003,74.400002,74.400002,138500
2018-05-29,74.639999,76.800003,74.040001,74.760002,74.760002,93200
2018-05-30,75.900002,77.400002,74.603996,76.199997,76.199997,83400
2018-05-31,76.860001,77.639999,74.400002,75.000000,75.000000,78000
2018-06-01,76.199997,77.040001,74.279999,74.891998,74.891998,71800
2018-06-04,76.080002,76.919998,74.879997,75.720001,75.720001,88100
2018-06-05,76.680000,80.519997,75.779999,80.400002,80.400002,185700
2018-06-06,83.040001,90.720001,81.720001,90.720001,90.720001,423100
2018-06-07,94.199997,94.811996,84.000000,89.040001,89.040001,392700
2018-06-08,86.040001,88.199997,82.056000,86.040001,86.040001,319700
2018-06-11,84.300003,85.440002,81.720001,81.792000,81.792000,162700
2018-06-12,82.080002,84.000000,78.599998,81.984001,81.984001,161400
2018-06-13,82.980003,84.839996,81.959999,83.279999,83.279999,124300
2018-06-14,83.339996,85.080002,81.839996,82.080002,82.080002,87600
2018-06-15,81.660004,82.559998,81.000000,82.320000,82.320000,71200
2018-06-18,82.860001,83.400002,81.239998,83.040001,83.040001,69500
2018-06-19,82.800003,88.860001,82.164001,86.400002,86.400002,195900
2018-06-20,92.699997,92.760002,86.879997,90.120003,90.120003,281600
2018-06-21,90.779999,95.040001,88.919998,94.440002,94.440002,368000
2018-06-22,95.639999,96.480003,89.879997,90.360001,90.360001,291900
2018-06-25,90.120003,92.472000,86.519997,87.480003,87.480003,179900
2018-06-26,87.456001,89.040001,84.239998,84.839996,84.839996,158400
2018-06-27,83.040001,84.000000,78.959999,80.639999,80.639999,195700
2018-06-28,80.820000,85.559998,79.919998,84.720001,84.720001,129100
2018-06-29,85.800003,86.160004,82.800003,84.839996,84.839996,105100
2018-07-02,84.540001,87.599998,84.000000,87.239998,87.239998,89500
2018-07-03,86.220001,87.239998,85.199997,85.440002,85.440002,53100
2018-07-05,85.919998,87.000000,85.320000,85.452003,85.452003,62500
2018-07-06,85.500000,86.879997,83.400002,84.959999,84.959999,83300
2018-07-09,84.959999,85.680000,83.279999,84.000000,84.000000,89800
2018-07-10,83.639999,84.599998,82.919998,83.400002,83.400002,57900
2018-07-11,83.639999,84.720001,81.480003,82.199997,82.199997,61600
2018-07-12,83.099998,83.879997,81.480003,81.599998,81.599998,68200
2018-07-13,81.239998,81.959999,78.000000,78.828003,78.828003,125200
2018-07-16,77.879997,78.839996,73.440002,73.559998,73.559998,205700
2018-07-17,72.419998,74.639999,71.279999,72.276001,72.276001,160400
2018-07-18,72.900002,74.160004,71.519997,72.599998,72.599998,77500
2018-07-19,73.440002,74.160004,69.120003,69.599998,69.599998,182500
2018-07-20,69.599998,70.320000,66.959999,67.680000,67.680000,180100
2018-07-23,67.980003,70.440002,67.320000,70.080002,70.080002,125500
2018-07-24,70.919998,71.760002,64.919998,65.040001,65.040001,160700
2018-07-25,66.720001,67.800003,63.480000,63.840000,63.840000,141900
2018-07-26,64.080002,64.199997,59.891998,63.119999,63.119999,168700
2018-07-27,63.720001,65.279999,62.700001,64.199997,64.199997,97900
2018-07-30,65.220001,66.000000,61.439999,62.160000,62.160000,120000
2018-07-31,62.279999,65.519997,61.296001,65.400002,65.400002,89500
2018-08-01,64.800003,66.000000,62.520000,63.119999,63.119999,95000
2018-08-02,63.119999,63.480000,61.320000,61.919998,61.919998,104200
2018-08-03,63.360001,63.959999,60.119999,60.720001,60.720001,99500
2018-08-06,60.840000,61.919998,60.240002,61.919998,61.919998,60700
2018-08-07,61.080002,61.919998,55.740002,56.400002,56.400002,379200
2018-08-08,56.520000,59.040001,55.200001,57.324001,57.324001,148900
2018-08-09,57.959999,58.080002,56.639999,57.360001,57.360001,100000
2018-08-10,57.840000,58.080002,55.320000,55.872002,55.872002,135900
2018-08-13,56.759998,57.360001,52.680000,53.639999,53.639999,162000
2018-08-14,53.639999,54.480000,48.576000,49.200001,49.200001,259800
2018-08-15,56.520000,61.439999,53.400002,58.512001,58.512001,436500
2018-08-16,59.279999,60.360001,56.160000,57.000000,57.000000,223100
2018-08-17,57.480000,59.880001,55.764000,59.639999,59.639999,200000
2018-08-20,62.820000,70.440002,61.200001,70.320000,70.320000,537900
2018-08-21,74.879997,80.639999,71.160004,75.480003,75.480003,715600
2018-08-22,74.580002,75.360001,70.559998,74.304001,74.304001,422600
2018-08-23,73.500000,75.000000,72.120003,73.559998,73.559998,248800
2018-08-24,75.660004,79.667999,74.856003,79.080002,79.080002,644700
2018-08-27,84.900002,86.760002,81.384003,85.199997,85.199997,889600
2018-08-28,84.599998,84.839996,75.959999,79.199997,79.199997,690900
2018-08-29,80.879997,84.599998,79.800003,84.540001,84.540001,577000
2018-08-30,80.580002,82.800003,79.680000,81.407997,81.407997,429700
2018-08-31,80.580002,82.919998,79.199997,80.160004,80.160004,360600
2018-09-04,81.239998,81.720001,79.559998,81.599998,81.599998,421200
2018-09-05,82.620003,85.199997,76.968002,79.391998,79.391998,491200
2018-09-06,77.279999,77.723999,73.176003,75.180000,75.180000,341500
2018-09-07,74.820000,75.839996,72.575996,74.040001,74.040001,287500
2018-09-10,76.440002,76.440002,73.440002,75.839996,75.839996,323800
2018-09-11,77.699997,83.400002,74.987999,83.040001,83.040001,566600
2018-09-12,85.139999,87.839996,80.160004,84.132004,84.132004,871800
2018-09-13,85.019997,85.800003,74.519997,76.500000,76.500000,647600
2018-09-14,71.639999,79.559998,70.727997,78.239998,78.239998,483000
2018-09-17,92.400002,96.000000,87.599998,92.124001,92.124001,1992200
2018-09-18,94.199997,102.120003,92.556000,102.120003,102.120003,1879200
2018-09-19,107.459999,116.400002,94.559998,101.279999,101.279999,3265700
2018-09-20,108.300003,114.000000,101.160004,113.879997,113.879997,1876700
2018-09-21,111.839996,113.639999,108.000000,110.664001,110.664001,1302800
